name,id,nametype,recclass,mass,fall,year,reclat,reclong
Nantan,16906,Valid,"Iron, IAB-MG",9500000,Found,1958,25.1,107.7
Jilin,12171,Valid,H5,4000000,Fell,1976,44.05,126.16667
Yingde,30363,Valid,"Iron, IVA",3000000,Found,1964,24.2,113.4
Xifu,54608,Valid,"Iron, IAB complex",3000000,Found,2004,36.3,120.48333
Al Haggounia 001,44857,Valid,Aubrite,3000000,Found,2006,27.5,-12.5
Old Woman,18007,Valid,"Iron, IIAB",2753000,Found,1976,34.46667,-115.23333
Allende,2278,Valid,CV3,2000000,Fell,1969,26.96667,-105.31667
Zhaoping,54609,Valid,"Iron, IAB complex",2000000,Found,1983,24.23333,111.18333
Campinorte,52093,Valid,"Iron, ungrouped",2000000,Found,1992,-14.258,-49.15917
Gebel Kamil,52031,Valid,"Iron, ungrouped",1600000,Found,2009,22.01833,26.08778
Tsarev,24058,Valid,L5,1225300,Found,1968,48.7,45.7
Alkhamasin,475,Valid,"Iron, IIAB",1200000,Found,1973,20.6,44.88333
Kunya-Urgench,12379,Valid,H5,1100000,Fell,1998,42.25,59.2
Fukang,34491,Valid,"Pallasite, PMG",1003000,Found,2000,44.43333,87.63333
Bilibino,5046,Valid,"Iron, IIAB",1000000,Found,1981,67.3,160.8
Zhigansk,30405,Valid,"Iron, IIIAB",900000,Found,1966,68,128.3
Zerhamra,30403,Valid,"Iron, IIIAB-an",630000,Found,1967,29.85861,-2.645
Jiddat al Harasis 073,12135,Valid,L6,550000,Found,2002,19.7,55.73333
Wildara,24265,Valid,H5,500000,Found,1968,-28.23333,120.85
Jepara,53840,Valid,"Pallasite, PMG",499500,Found,2008,-6.6,110.73333
Saint-Aubin,23096,Valid,"Iron, IIIAB",472000,Found,1968,48.48333,3.58333
Etter,10062,Valid,L5,450000,Found,1965,35.98333,-101.9
Sayh al Uhaymir 001,23193,Valid,L5,450000,Found,2000,20.51667,56.66667
Allan Hills A76009,1316,Valid,L6,407000,Found,1976,-76.71667,159.66667
Mont Dieu,16722,Valid,"Iron, ungrouped",360000,Found,1994,49.55,4.86667
Longtian,14696,Valid,"Iron, IIIAB",350000,Found,1991,27.35,108.5
Millbillillie,16643,Valid,Eucrite-mmict,330000,Fell,1960,-26.45,120.36667
Sterlitamak,23724,Valid,"Iron, IIIAB",325000,Fell,1990,53.66667,55.98333
Seymchan,23510,Valid,"Pallasite, PMG",323300,Found,1967,62.9,152.43333
Nova Petropolis,17928,Valid,"Iron, IIIAB",305000,Found,1967,-29.43333,-50.91667
Bruderheim,5156,Valid,L6,303000,Fell,1960,53.9,-112.88333
Bur-Abor,5166,Valid,"Iron, IIIAB",290000,Found,1997,3.98333,41.65
Clovis (no. 1),5385,Valid,H3.6,283000,Found,1961,34.3,-103.13472
Rio Limay,22609,Valid,L5,280000,Found,1995,-39.85,-69.48333
Sanclerlandia,23132,Valid,"Iron, IIIAB",279000,Found,1971,-16.21667,-50.3
Mount Padbury,16785,Valid,Mesosiderite-A1,272000,Found,1964,-25.66667,118.1
Saint-Sթverin,23102,Valid,LL6,271000,Fell,1966,45.3,0.23333
Miles,16641,Valid,"Iron, IIE",265000,Found,1992,-27.83333,150.33333
Tishomingo,24010,Valid,"Iron, ungrouped",260000,Found,1965,34.25,-96.68333
Suizhou,23738,Valid,L6,260000,Fell,1986,31.61667,113.46667
Dhofar 020,6719,Valid,H4/5,256000,Found,2000,19.03333,54.51667
Omolon,18019,Valid,"Pallasite, PMG",250000,Fell,1981,64.02,161.80833
El Hammami,7806,Valid,H5,240000,Found,1997,23.28333,-10.81667
Youxi,55793,Valid,Mesosiderite-C,218000,Found,2006,26.06,118.01
Acuձa,373,Valid,"Iron, IIIAB",217700,Found,1981,29.31667,-100.96667
Liangcheng,14645,Valid,"Iron, IIIAB",200000,Found,1959,40.5,112.5
Jiddat al Harasis 055,12119,Valid,L4-5,200000,Found,2004,19.65167,55.69
Porto Alegre,52091,Valid,"Iron, IIIE",200000,Found,2005,-30.03306,-51.23
Pallasovka,34061,Valid,"Pallasite, PMG",198000,Found,1990,49.86667,46.61167
Zag,30384,Valid,H3-6,175000,Fell,1998,27.33333,-9.33333
Owasco,18060,Valid,L6,168400,Found,1984,41.2,-103.68333
Garabato,10856,Valid,H5,160000,Found,1995,-28.86667,-60.2
Qijiaojing,54610,Valid,"Iron, ungrouped",160000,Found,2003,43.75,92.91667
Yardymly,30352,Valid,"Iron, IAB complex",150200,Fell,1959,38.93333,48.25
Wiluna,24281,Valid,H5,150000,Fell,1967,-26.59278,120.32833
Mbale,15455,Valid,L5/6,150000,Fell,1992,1.06667,34.16667
Tres Castillos,24047,Valid,"Iron, ungrouped",150000,Found,1992,29.47,-105.8
Jalu,12070,Valid,L6,150000,Found,2000,27.95833,21.68333
El Sampal,7817,Valid,"Iron, IIIAB",142000,Found,1973,-44.53333,-70.36667
Korra Korrabes,12347,Valid,H3,140000,Found,1996,-25.2,18.08333
Brainard,5131,Valid,"Iron, IIIAB",138300,Found,1978,41.15333,-96.955
Derrick Peak A78009,6685,Valid,"Iron, IIAB",138100,Found,1978,-80.06667,156.38333
Carnegie,5278,Valid,L6,132700,Found,1963,35.16667,-98.64389
Araslanovo,2324,Valid,L/LL5,132000,Found,1973,55.14167,48.2
Dong Ujimqin Qi,7706,Valid,Mesosiderite,128800,Fell,1995,45.5,119.03333
Dhofar 005,6704,Valid,L6,125500,Found,2000,18.16667,54.16667
Jiddat al Harasis 091,12150,Valid,L5,123374,Found,2002,19.69362,56.65432
Santiago Papasquiero,23169,Valid,"Iron, ungrouped",119500,Found,1958,24.5,-106
Tafassasset,23779,Valid,CR-an,114000,Found,2000,20.76333,10.44167
Buenaventura,5162,Valid,"Iron, IIIAB",113600,Found,1969,29.8,-107.55
Florey,10112,Valid,H6,110800,Found,1978,32.5225,-102.705
Etosha,10061,Valid,"Iron, IC",110700,Found,1970,-18.5,16
Lewis Cliff 85320,12790,Valid,H5,110224,Found,1985,-84.26223,161.41628
Mount Tazerzait,16804,Valid,L5,110000,Fell,1991,18.7,4.8
Sulagiri,48951,Valid,LL6,110000,Fell,2008,12.66667,78.03333
Tiberrhamine,23985,Valid,L6,107000,Found,1967,28.11667,0.53333
Cook 001,5421,Valid,H5,105000,Found,1989,-30.33333,130.53333
Budulan,5161,Valid,Mesosiderite-B4,100000,Found,1962,50.56667,114.9
Faucett,10077,Valid,H5,100000,Found,1966,39.61667,-94.86667
Murchison,16875,Valid,CM2,100000,Fell,1969,-36.61667,145.2
Retuerta del Bullaque,56577,Valid,"Iron, IAB-MG",100000,Found,1980,39.45889,-4.3775
Anyujskij,2312,Valid,"Iron, IIAB",100000,Found,1981,66.9,164.2
Zhongxiang,30406,Valid,Iron,100000,Found,1981,31.2,112.5
Kidairat,12300,Valid,H6,100000,Fell,1983,14,28
Gujba,11449,Valid,CBa,100000,Fell,1984,11.49167,11.65833
Cook 007,5427,Valid,H4,100000,Found,1989,-30.61667,130.41667
Juancheng,12203,Valid,H5,100000,Fell,1997,35.5,115.41667
Agoudal,57354,Valid,"Iron, IIAB",100000,Found,2000,31.98457,-5.51528
Franconia,10174,Valid,H5,100000,Found,2002,34.71637,-114.22197
Chergach ,47347,Valid,H5,100000,Fell,2007,23.69639,-5.01472
Tamdakht,48691,Valid,H5,100000,Fell,2008,31.16333,-7.015
Bou Azarif,53812,Valid,H5,100000,Found,2010,31.15643,-5.15262
Chelyabinsk,57165,Valid,LL5,100000,Fell,2013,54.81667,61.11667
Dar al Gani 749,6296,Valid,CO3,95000,Found,1999,27.30167,15.7645
Machinga,15371,Valid,L6,93200,Fell,1981,-15.21222,35.24222
Watson 001,24221,Valid,"Iron, IIE",93000,Found,1972,-30.5,131.55
Jiddat al Harasis 090,12149,Valid,L5,92667.6,Found,2002,19.71678,56.6062
ad-Dahbubah,376,Valid,H5,90000,Found,1961,19.83333,51.25
Mills,16687,Valid,H6,88000,Found,1970,36.23,-104.11889
Kayakent,12268,Valid,"Iron, IIIAB",85000,Fell,1961,39.26333,31.78